"date","price"
2021-05-03,37.52
2021-05-04,37.5
2021-05-05,37.5
2021-05-06,37.45
2021-05-07,37.4
2021-05-10,37.4
2021-05-11,37.4
2021-05-12,37.25
2021-05-13,37.2
2021-05-14,37
2021-05-17,37.1
2021-05-18,37.25
2021-05-19,37.07
2021-05-20,36.97
2021-05-21,37.05
2021-05-24,36.8
2021-05-25,36.85
2021-05-26,36.55
2021-05-27,36.75
2021-05-28,36.95
2021-05-31,37
2021-06-01,37
2021-06-02,37.4
2021-06-03,37.6
2021-06-04,37.9
2021-06-08,38.1
2021-06-09,39.2
2021-06-10,40.15
2021-06-11,40.3
2021-06-14,40.35
2021-06-15,40.5
2021-06-16,40.8
2021-06-17,41.2
2021-06-18,41.3
2021-06-21,41.05
2021-06-22,40.97
2021-06-23,40.9
2021-06-24,43.25
2021-06-25,43.6
2021-06-28,43.1
2021-06-29,43.35
2021-06-30,43.45
2021-07-01,43.47
2021-07-02,44
2021-07-05,44.35
2021-07-06,44.75
2021-07-07,45.25
2021-07-08,46
2021-07-09,47.5
2021-07-12,47.8
2021-07-13,48.05
2021-07-14,47.7
2021-07-15,47.3
2021-07-16,47.65
2021-07-19,47.8
2021-07-20,47.9
2021-07-21,47.82
2021-07-22,47.97
2021-07-23,48.1
2021-07-26,48.12
2021-07-27,48.05
2021-07-28,48.5
2021-07-29,48.6
2021-07-30,48.4
2021-08-02,48.6
2021-08-03,48.6
2021-08-04,48.8
2021-08-05,49
2021-08-06,49.1
2021-08-09,49.15
2021-08-10,49.3
2021-08-11,49.6
2021-08-12,49.55
2021-08-13,49.8
2021-08-16,49.7
2021-08-17,49.75
2021-08-18,49.7
2021-08-19,49.65
2021-08-20,49.75
2021-08-23,49.75
2021-08-24,50.45
2021-08-25,50.45
2021-08-26,50.5
2021-08-27,51
2021-08-30,51.1
2021-08-31,51.4
2021-09-01,51.5
2021-09-02,59
2021-09-03,59.5
2021-09-06,60.1
2021-09-07,60.6
2021-09-08,62
2021-09-09,65.25
2021-09-10,65.8
2021-09-13,65
2021-09-14,61.5
2021-09-15,63.5
2021-09-17,64
2021-09-20,64
2021-09-24,64.5
2021-09-27,64.5
2021-09-28,64.4
2021-09-29,63.6
2021-10-01,64.5
2021-10-05,64.5
2021-10-06,64.5
2021-10-07,64.7
2021-10-08,64.5
2021-10-11,64.6
2021-10-12,64.5
2021-10-13,64.5
2021-10-14,64.85
2021-10-15,64.8
2021-10-18,64.8
2021-10-19,64.75
2021-10-20,65
2021-10-21,64.5
2021-10-22,65
2021-10-26,65
2021-10-27,65.1
2021-10-28,65.25
2021-10-29,65.25
2021-11-08,65.3
2021-11-09,65.2
2021-11-12,65
2021-11-15,64.8
2021-11-16,64.9
2021-11-17,65.1
2021-11-18,65.1
2021-11-19,64.9
2021-11-22,64.9
